plant_id,type,n,c2,c1,c0
BANKHEAD DAM-WAT,WAT,1,0,-0.0,0
BARRY-NG,NG,1,0,7.430384060255565,0
BARRY-BIT,BIT,1,0,9.284370366520953,0
WALTER BOULDIN DAM-WAT,WAT,1,0,8.90400790304992,0
GADSDEN-NG,NG,1,0,10.80361615105335,0
GORGAS-BIT,BIT,1,0,9.631132241889006,0
COPPER-NG,NG,1,0,17.41656319537211,0
GREENE COUNTY-NG,NG,1,0,10.230134688677937,0
H NEELY HENRY DAM-WAT,WAT,1,0,8.904027069895825,0
HOLT DAM-WAT,WAT,1,0,8.904035513766198,0
JORDAN DAM-WAT,WAT,1,0,8.90402589788314,0
LOGAN MARTIN DAM-WAT,WAT,1,0,8.90399195928884,0
LAY DAM-WAT,WAT,1,0,8.904007972219212,0
MARTIN DAM-WAT,WAT,1,0,8.90399863673488,0
MITCHELL DAM-WAT,WAT,1,0,8.903992476195137,0
LEWIS SMITH DAM-WAT,WAT,1,0,8.904003592287726,0
THURLOW DAM-WAT,WAT,1,0,8.903994852204434,0
WEISS DAM-WAT,WAT,1,0,8.903972954963622,0
YATES DAM-WAT,WAT,1,0,8.903981721166453,0
E C GASTON-NG,NG,1,0,10.53759339570866,0
E C GASTON-BIT,BIT,1,0,10.274569057284948,0
E C GASTON-DFO,DFO,1,0,25.6734693877551,0
MADELIA-NG,NG,1,0,0.0,0
ROLLINS-WAT,WAT,1,0,8.904023615812365,0
MILLERS FERRY-WAT,WAT,1,0,8.903992380290012,0
BROWNS FERRY-NUC,NUC,1,0,10.441608825435663,0
COLBERT-NG,NG,1,0,25.73424535686654,0
GUNTERSVILLE-WAT,WAT,1,0,8.904005922671109,0
WHEELER DAM-WAT,WAT,1,0,8.90400116151256,0
DOLET HILLS-LIG,LIG,1,0,12.54195865979062,0
GANTT-WAT,WAT,1,0,8.900993893421369,0
J K SMITH-NG,NG,1,0,13.339367571745777,0
POINT A-WAT,WAT,1,0,8.903798368340041,0
CHARLES R LOWMAN-BIT,BIT,1,0,10.962065748928362,0
PLATTE-SUB,SUB,1,0,12.423914746325663,0
WHELAN ENERGY CENTER-RC,RC,1,0,21.49304647006321,0
WHELAN ENERGY CENTER-SUB,SUB,1,0,21.51530664802222,0
ANNEX CREEK-WAT,WAT,1,0,8.903981505642479,0
GOLD CREEK-WAT,WAT,1,0,8.940114359705591,0
SALMON CREEK 1-WAT,WAT,1,0,8.904197323118998,0
SKAGWAY-WAT,WAT,1,0,8.905448105941698,0
SKAGWAY-DFO,DFO,1,0,11.05816974507461,0
HAINES-DFO,DFO,1,0,-34.17244915763402,0
SWAN LAKE-WAT,WAT,1,0,8.90413954797839,0
TERROR LAKE MICROGRID-WAT,WAT,1,0,8.904061853049258,0
ANCHORAGE 1-NG,NG,1,0,15.436339459044133,0
ANCHORAGE 1-DFO,DFO,1,0,15.759816869167105,0
EKLUTNA HYDRO PROJECT-WAT,WAT,1,0,8.904000636874027,0
SNETTISHAM-WAT,WAT,1,0,8.903989048504005,0
AURORA ENERGY LLC CHENA-SUB,SUB,1,0,12.06447885078899,0
KETCHIKAN-WAT,WAT,1,0,8.904263084683935,0
S W BAILEY-DFO,DFO,1,0,9.722592729234904,0
ESCALANTE-SUB,SUB,1,0,10.245693555167733,0
ASHOKAN-WAT,WAT,1,0,8.903242643383685,0
SNAKE RIVER-DFO,DFO,1,0,8.375295698455128,0
SNAKE RIVER-WND,WND,1,0,8.906301385427007,0
PETERSBURG-WAT,WAT,1,0,8.903523516570402,0
PETERSBURG-DFO,DFO,1,0,14.436674331177228,0
SEWARD (AK)-DFO,DFO,1,0,23.009704309381327,0
BLUE LAKE HYDRO-WAT,WAT,1,0,8.904097584458254,0
WRANGELL-DFO,DFO,1,0,8.722797079988013,0
BELUGA-NG,NG,1,0,21.0981628536643,0
FREDERICKSON-NG,NG,1,0,14.99812882751951,0
SOUTH CONSOLIDATED-WAT,WAT,1,0,0.0,0
J S EASTWOOD-WAT,WAT,1,0,0.0,0
HOLCOMB-SUB,SUB,1,0,10.385598001634785,0
DILLINGHAM-DFO,DFO,1,0,10.162580932109412,0
CHOLLA-SUB,SUB,1,0,10.363057073463402,0
DOUGLAS-DFO,DFO,1,0,48.178818005216975,0
OCOTILLO-NG,NG,1,0,9.725962264276443,0
WEST PHOENIX-NG,NG,1,0,7.655154130359922,0
SAGUARO-NG,NG,1,0,12.917365021192523,0
YUCCA-NG,NG,1,0,10.218921899375085,0
YUCCA-DFO,DFO,1,0,11.353489541555794,0
DEMOSS PETRIE-NG,NG,1,0,14.133213874843014,0
H WILSON SUNDT GENERATING STATION-NG,NG,1,0,11.257015173774084,0
OKLAUNION-SUB,SUB,1,0,10.583195572209604,0
CROSS-RC,RC,1,0,9.928807656535794,0
SEMINOLE (FL)-BIT,BIT,1,0,9.931771780437233,0
AGUA FRIA-NG,NG,1,0,11.539651557644493,0
AGUA FRIA-SUN,SUN,1,0,8.898425787106445,0
HORSE MESA-WAT,WAT,1,0,0.7905198031860476,0
KYRENE-NG,NG,1,0,7.176207964790853,0
MORMON FLAT-WAT,WAT,1,0,0.47556168703192747,0
ROOSEVELT-WAT,WAT,1,0,8.903854804648347,0
STEWART MOUNTAIN-WAT,WAT,1,0,-0.0,0
MCCLURE-DFO,DFO,1,0,18.02830672118118,0
MCCLURE-NG,NG,1,0,18.037875478706766,0
DAVIS DAM-WAT,WAT,1,0,8.903996564369349,0
GLEN CANYON DAM-WAT,WAT,1,0,8.903999012511566,0
HOOVER DAM (NV)-WAT,WAT,1,0,8.903997319742532,0
LAKE CREEK DAM-WAT,WAT,1,0,8.904604838422964,0
APACHE STATION-NG,NG,1,0,10.930562529167945,0
APACHE STATION-SUB,SUB,1,0,11.355421665435497,0
TURLOCK LAKE-WAT,WAT,1,0,8.903998804244164,0
HICKMAN-WAT,WAT,1,0,8.902962858220931,0
GREC-NG,NG,1,0,6.785131015148363,0
GREC-SUB,SUB,1,0,16.26904218900663,0
CARPENTER-WAT,WAT,1,0,8.904030511999874,0
LAKE CATHERINE-NG,NG,1,0,12.005574308416843,0
REMMEL-WAT,WAT,1,0,8.903970514583095,0
VOLTA 2-WAT,WAT,1,0,8.904556212041816,0
BEAVER DAM-WAT,WAT,1,0,8.904013345956477,0
DEGRAY-WAT,WAT,1,0,5.222974790326919,0
GREERS FERRY LAKE-WAT,WAT,1,0,8.904016236652385,0
MUNICIPAL LIGHT-DFO,DFO,1,0,11.777777777777775,0
NARROWS (AR)-WAT,WAT,1,0,8.904023506685059,0
NORFORK-WAT,WAT,1,0,8.903991444075325,0
BLAKELY MOUNTAIN-WAT,WAT,1,0,8.904014897366661,0
BULL SHOALS-WAT,WAT,1,0,8.903998404097301,0
DARDANELLE-WAT,WAT,1,0,8.904004488264553,0
THOMAS FITZHUGH-NG,NG,1,0,9.26868031391283,0
CARL BAILEY-NG,NG,1,0,12.121583991815532,0
MCCLELLAN (AR)-NG,NG,1,0,12.369290249556638,0
CLINTON POWER STATION-NUC,NUC,1,0,10.44160849367179,0
WOLF CREEK GENERATING STATION-NUC,NUC,1,0,10.362181865296394,0
ALTA POWERHOUSE-WAT,WAT,1,0,8.903723158975515,0
ANGELS-WAT,WAT,1,0,8.904410783327426,0
BALCH 1-WAT,WAT,1,0,8.904008791055434,0
BALCH 2-WAT,WAT,1,0,8.904008425424438,0
BELDEN-WAT,WAT,1,0,8.904000033149197,0
BUCKS CREEK-WAT,WAT,1,0,8.90402684923994,0
BUTT VALLEY-WAT,WAT,1,0,8.903990831196902,0
CARIBOU 1-WAT,WAT,1,0,8.903964354260463,0
CARIBOU 2-WAT,WAT,1,0,8.90399450183525,0
CHILI BAR-WAT,WAT,1,0,8.903949051523316,0
COLEMAN PH-WAT,WAT,1,0,8.904010097448465,0
COW CREEK-WAT,WAT,1,0,8.905548964609245,0
CRESTA-WAT,WAT,1,0,8.903995085630179,0
DE SABLA-WAT,WAT,1,0,8.904056873413383,0
DEER CREEK PH-WAT,WAT,1,0,8.903867111505162,0
DRUM 1-WAT,WAT,1,0,8.90407771178691,0
DRUM 2-WAT,WAT,1,0,8.903986317631302,0
DUTCH FLAT-WAT,WAT,1,0,8.903982231117933,0
EL DORADO-WAT,WAT,1,0,8.904004399458069,0
ELECTRA-WAT,WAT,1,0,8.903985705041324,0
HAAS-WAT,WAT,1,0,8.904001672991917,0
HALSEY-WAT,WAT,1,0,8.9039222498994,0
HAT CREEK 1-WAT,WAT,1,0,8.904027090151805,0
HAT CREEK 2-WAT,WAT,1,0,8.904020050870912,0
HUMBOLDT BAY-NG,NG,1,0,8.877390453098737,0
JAMES B BLACK-WAT,WAT,1,0,8.903999966949485,0
KILARC-WAT,WAT,1,0,8.902055455618036,0
KINGS RIVER PH-WAT,WAT,1,0,8.904033661024496,0
MERCED FALLS-WAT,WAT,1,0,8.903936971035472,0
DYNEGY MOSS LANDING POWER PLANT-NG,NG,1,0,none,0
MURPHYS-WAT,WAT,1,0,8.904099573922865,0
NARROWS PH-WAT,WAT,1,0,8.904039017666463,0
PHOENIX-WAT,WAT,1,0,8.903974707129587,0
PIT 1-WAT,WAT,1,0,8.90401191072633,0
PIT 3-WAT,WAT,1,0,8.90400747624838,0
PIT 4-WAT,WAT,1,0,8.903985023295757,0
PIT 5-WAT,WAT,1,0,8.904003018897036,0
PIT 6-WAT,WAT,1,0,8.904005859386343,0
PIT 7-WAT,WAT,1,0,8.903991015515182,0
POE-WAT,WAT,1,0,8.904003189900319,0
POTTER VALLEY-WAT,WAT,1,0,8.903848773334367,0
ROCK CREEK-WAT,WAT,1,0,8.904001964600665,0
SAN JOAQUIN 2-WAT,WAT,1,0,0.0,0
SALT SPRINGS-WAT,WAT,1,0,8.904021747397454,0
SOUTH-WAT,WAT,1,0,8.904057566068248,0
SPAULDING 1-WAT,WAT,1,0,8.90382819956375,0
SPAULDING 2-WAT,WAT,1,0,8.903579056669939,0
SPAULDING 3-WAT,WAT,1,0,8.903829937383586,0
SPRING GAP-WAT,WAT,1,0,8.904070963554702,0
STANISLAUS-WAT,WAT,1,0,8.904009440366732,0
GEYSERS UNIT 5-20-GEO,GEO,1,0,8.90400102424519,0
TIGER CREEK-WAT,WAT,1,0,8.903990101987603,0
VOLTA 1-WAT,WAT,1,0,8.904060952030886,0
WEST POINT PH-WAT,WAT,1,0,8.904023063653163,0
WISE-WAT,WAT,1,0,8.903940242042875,0
A G WISHON-WAT,WAT,1,0,8.904020128701672,0
COPCO 1-WAT,WAT,1,0,8.904016947533911,0
COPCO 2-WAT,WAT,1,0,8.904011757414413,0
FALL CREEK-WAT,WAT,1,0,8.903264451256394,0
IRON GATE-WAT,WAT,1,0,8.904019698077189,0
LIMESTONE-SUB,SUB,1,0,10.389647274821433,0
BLUNDELL-GEO,GEO,1,0,8.903993216474497,0
GREEN LAKE-WAT,WAT,1,0,8.904097064730266,0
DROP 5-WAT,WAT,1,0,8.903470182832141,0
AES ALAMITOS LLC-NG,NG,1,0,12.882516211123152,0
BIG CREEK 1-WAT,WAT,1,0,8.903989696323595,0
BIG CREEK 2-WAT,WAT,1,0,8.90401092079371,0
BIG CREEK 3-WAT,WAT,1,0,8.903999161918506,0
BIG CREEK 4-WAT,WAT,1,0,8.904001316276116,0
BIG CREEK 8-WAT,WAT,1,0,8.904005813193338,0
BIG CREEK 2A-WAT,WAT,1,0,8.904000933142331,0
BISHOP CREEK 2-WAT,WAT,1,0,8.904024635938248,0
BISHOP CREEK 3-WAT,WAT,1,0,8.904044593283299,0
BISHOP CREEK 4-WAT,WAT,1,0,8.903974759722328,0
BISHOP CREEK 5-WAT,WAT,1,0,8.904021867970762,0
BISHOP CREEK 6-WAT,WAT,1,0,8.903910484286897,0
BOREL-WAT,WAT,1,0,-0.0,0
FONTANA-WAT,WAT,1,0,8.904278926462242,0
AES HUNTINGTON BEACH LLC-NG,NG,1,0,12.448110840691536,0
KAWEAH 2-WAT,WAT,1,0,8.904429002206625,0
KAWEAH 1-WAT,WAT,1,0,-0.0,0
KAWEAH 3-WAT,WAT,1,0,8.90400457382787,0
KERN RIVER 3-WAT,WAT,1,0,8.90400458147832,0
KERN RIVER 1-WAT,WAT,1,0,8.904020771882843,0
LONG BEACH GENERATION LLC-NG,NG,1,0,17.195070908780618,0
LUNDY-WAT,WAT,1,0,8.904021114181052,0
MAMMOTH POOL-WAT,WAT,1,0,8.903672310358967,0
ORMOND BEACH-NG,NG,1,0,11.998276551799808,0
POOLE-WAT,WAT,1,0,8.903929185231092,0
