plant_id,bus_id,Pg,status,Pmax,Pmin,ramp_30,type,region
BANKHEAD DAM-WAT,153567,1,OP,53.0,52.0,52.0,WAT,Eastern
BARRY-NG,153567,1,OP,1219.4,0,0,NG,Eastern
BARRY-BIT,153567,1,OP,1118.5,0,0,BIT,Eastern
WALTER BOULDIN DAM-WAT,166910,1,OP,224.10000000000002,74.0,74.0,WAT,Eastern
GADSDEN-NG,161984,1,OP,130.0,28.0,28.0,NG,Eastern
GORGAS-BIT,,1,OP,1062.7,,,BIT,uncertain
COPPER-NG,309700,1,OP,64.0,3.0,3.0,NG,Western
GREENE COUNTY-NG,143477,1,OP,1256.1,66.0,66.0,NG,Eastern
H NEELY HENRY DAM-WAT,145853,1,OP,68.1,22.4,22.4,WAT,Eastern
HOLT DAM-WAT,153567,1,OP,48.0,45.0,45.0,WAT,Eastern
JORDAN DAM-WAT,166910,1,OP,129.2,25.0,25.0,WAT,Eastern
LOGAN MARTIN DAM-WAT,142555,1,OP,119.10000000000001,41.8,41.8,WAT,Eastern
LAY DAM-WAT,160836,1,OP,180.0,29.0,29.0,WAT,Eastern
MARTIN DAM-WAT,166909,1,OP,172.89999999999998,40.0,40.0,WAT,Eastern
MITCHELL DAM-WAT,173615,1,OP,163.1,46.0,46.0,WAT,Eastern
LEWIS SMITH DAM-WAT,168877,1,OP,175.0,83.0,83.0,WAT,Eastern
THURLOW DAM-WAT,166909,1,OP,77.89999999999999,7.0,7.0,WAT,Eastern
WEISS DAM-WAT,152963,1,OP,72.9,22.3,22.3,WAT,Eastern
YATES DAM-WAT,166909,1,OP,44.0,21.0,21.0,WAT,Eastern
E C GASTON-NG,142563,1,OP,1020.0,70.0,70.0,NG,Eastern
E C GASTON-BIT,142563,1,OP,832.0,700.0,700.0,BIT,Eastern
E C GASTON-DFO,142563,1,OP,16.0,16.0,16.0,DFO,Eastern
MADELIA-NG,161624,1,OP,10.299999999999999,0.7,0.7,NG,Eastern
ROLLINS-WAT,309468,1,OP,12.1,0.5,0.5,WAT,Western
MILLERS FERRY-WAT,146010,1,OP,90.0,24.0,24.0,WAT,Eastern
BROWNS FERRY-NUC,146010,1,OP,3619.4,0,0,NUC,Eastern
COLBERT-NG,154427,1,OP,363.19999999999993,10.0,10.0,NG,Eastern
GUNTERSVILLE-WAT,162166,1,OP,122.7,14.6,14.6,WAT,Eastern
WHEELER DAM-WAT,154391,1,OP,366.0,28.0,28.0,WAT,Eastern
DOLET HILLS-LIG,116653,1,OP,638.0,244.0,244.0,LIG,Eastern
GANTT-WAT,157854,1,OP,2.8,0.1,0.1,WAT,Eastern
J K SMITH-NG,169380,1,OP,784.0,0.0,0.0,NG,Eastern
POINT A-WAT,157854,1,OP,5.4,0.1,0.1,WAT,Eastern
CHARLES R LOWMAN-BIT,143426,1,OP,556.0,140.0,140.0,BIT,uncertain
